Time,AccX,AccY,AccZ
289,1916,-100,17772
290,1992,-184,17576
291,2020,-120,17648
292,1976,-96,17492
293,2012,-108,17692
294,2032,-48,17572
295,2032,-48,17572
296,2044,-56,17408
297,2004,-156,17672
298,1976,-188,17664
299,1980,-200,17444
300,1968,-196,17376
301,1988,-208,17544
302,1928,-124,17652
303,2012,-232,17532
304,2076,-144,17420
305,2068,-204,17432
306,2068,-204,17432
307,2000,-200,17544
308,1964,-160,17716
309,2032,-152,17608
310,2008,-180,17632
311,1876,-172,17680
312,1896,-120,17668
313,2048,-140,17736
314,1880,-64,17740
315,1912,-80,17684
316,1932,-120,17564
317,1932,-120,17564
318,1992,-80,17580
319,2088,-24,17572
320,2028,-160,17512
321,1988,-120,17532
322,1944,-64,17672
323,1900,-40,17756
324,1988,-108,17544
325,2060,-88,17396
326,2020,-196,17424
327,2060,-76,17624
328,2060,-76,17624
329,2088,-152,17484
330,2148,-160,17392
331,2148,-272,17492
332,2032,-208,17468
333,2024,-96,17544
334,2092,-184,17456
335,1988,-256,17676
336,1948,-228,17788
337,2048,-208,17680
338,2084,-100,17660
339,2084,-100,17660
340,1924,-148,17732
341,1828,-152,17924
342,1848,-36,17988
343,2004,96,17760
344,2048,-4,17604
345,2128,-64,17424
346,2008,-88,17536
347,1972,-76,17812
348,1904,-44,17524
349,1904,-44,17524
350,1896,-36,17380
351,2028,12,17300
352,2088,-168,17348
353,2212,-204,17340
354,2112,-304,17304
355,2120,-280,17372
356,2168,-340,17320
357,2076,-368,17348
358,1952,-288,17544
359,1892,-196,17860
360,1892,-196,17860
361,1828,-100,17808
362,1936,-44,17988
363,1812,-132,18148
364,1692,-56,18260
365,1776,108,18016
366,1992,56,17656
367,2152,-16,17280
368,2172,-68,17344
369,2064,28,17656
370,1904,8,17568
371,1904,8,17568
372,1948,-8,17424
373,2096,-36,17196
374,2156,-152,17348
375,2224,-352,17248
376,2212,-424,17216
377,2264,-412,17136
378,2344,-392,17268
379,2152,-416,17644
380,1908,-172,17980
381,1844,-28,18060
382,1844,-28,18060
383,1604,60,18452
384,1468,268,18440
385,1584,384,18244
386,1720,136,17800
387,2116,188,17316
388,2244,136,17104
389,2128,88,17268
390,2028,-120,17520
391,2192,-68,17248
392,2216,-204,16980
393,2216,-204,16980
394,2320,-368,17120
395,2236,-612,17164
396,2272,-572,17032
397,2216,-544,17228
398,2108,-400,17612
399,1824,-132,17976
400,1512,-92,18356
401,1272,332,18788
402,1240,532,18804
403,1476,420,18328
404,1476,420,18328
405,1908,252,17424
406,2248,360,17012
407,2232,-32,16948
408,2128,-256,17556
409,2204,-92,17028
410,2364,-264,16776
411,2512,-800,16684
412,2564,-908,16824
413,2320,-976,16956
414,2156,-556,17468
415,2156,-556,17468
416,1940,-304,18076
417,1480,-104,18572
418,1124,196,19416
419,856,608,19284
420,1112,664,18632
421,1728,500,17564
422,2368,488,16776
423,2252,24,16664
424,2232,-228,17148
425,2408,-448,16532
426,2408,-448,16532
427,2596,-328,16444
428,2776,-980,16280
429,2932,-1204,16472
430,2608,-1212,17056
431,1972,-588,17984
432,1388,-192,18820
433,976,228,19732
434,624,896,19908
435,664,1056,19140
436,1352,688,17956
437,1352,688,17956
438,2156,956,16900
439,2428,236,16456
440,2184,-404,17372
441,2564,-664,16424
442,2904,-708,15812
443,3028,-1440,15524
444,3208,-1556,16088
445,2716,-1336,17208
446,1860,-400,18604
447,1860,-400,18604
448,968,0,19936
449,316,580,20744
450,224,1372,20196
451,808,1392,18500
452,1780,1156,16804
453,2428,1476,16352
454,1936,-464,17708
